Item ID;Sale ID;Product ID;Sale date;Year;Month;Year/Month;Quantity;Unit Price;Original Price;Revenue;Calculate disccount;Discount applied;Discount;Channel;Channel Campaings;Category;Country;Age range
3151;932;489;14/6/25;2025;6;2025-06;5;44,21;44,21;221,05;0;0;0;App Mobile;App Mobile;T-Shirts;NETHERLANDS;26-35
918;1082;280;6/4/25;2025;4;2025-04;5;44,14;44,14;220,7;0;0;0;App Mobile;App Mobile;T-Shirts;PORTUGAL;46-55
3074;1207;280;4/5/25;2025;5;2025-05;5;44,14;44,14;220,7;0;0;0;App Mobile;App Mobile;T-Shirts;SPAIN;46-55
660;873;184;22/5/25;2025;5;2025-05;5;44,08;44,08;220,4;0;0;0;E-commerce;Website Banner;Pants;NETHERLANDS;26-35
2051;757;184;26/4/25;2025;4;2025-04;5;44,08;44,08;220,4;0;0;0;E-commerce;Website Banner;Pants;SPAIN;36-45
1866;737;231;22/4/25;2025;4;2025-04;5;44,06;44,06;220,3;0;0;0;E-commerce;Website Banner;Shoes;SPAIN;36-45
72;953;411;16/4/25;2025;4;2025-04;5;43,94;43,94;219,7;0;0;0;App Mobile;App Mobile;Sleepwear;NETHERLANDS;16-25
2101;1275;277;4/4/25;2025;4;2025-04;5;43,92;43,92;219,6;0;0;0;App Mobile;App Mobile;T-Shirts;ITALY;56-65
1830;1162;312;5/4/25;2025;4;2025-04;5;43,84;43,84;219,2;0;0;0;App Mobile;App Mobile;Dresses;ITALY;56-65
1879;1178;312;15/4/25;2025;4;2025-04;5;43,84;43,84;219,2;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;16-25
1345;343;363;17/6/25;2025;6;2025-06;5;43,64;43,64;218,2;0;0;0;App Mobile;App Mobile;Dresses;FRANCE;36-45
1357;332;363;24/5/25;2025;5;2025-05;5;43,64;43,64;218,2;0;0;0;App Mobile;App Mobile;Dresses;FRANCE;26-35
10;358;374;4/6/25;2025;6;2025-06;5;43,43;43,43;217,15;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;36-45
385;770;302;28/4/25;2025;4;2025-04;5;43,4;43,4;217;0;0;0;E-commerce;Website Banner;T-Shirts;PORTUGAL;46-55
1888;39;429;14/5/25;2025;5;2025-05;5;43,34;43,34;216,7;0;0;0;E-commerce;Website Banner;T-Shirts;PORTUGAL;26-35
622;1231;21;5/4/25;2025;4;2025-04;5;43,3;43,3;216,5;0;0;0;App Mobile;App Mobile;Shoes;ITALY;56-65
3081;539;329;26/4/25;2025;4;2025-04;5;43,09;43,09;215,45;0;0;0;E-commerce;Website Banner;Sleepwear;NETHERLANDS;46-55
600;461;102;27/5/25;2025;5;2025-05;5;43,06;43,06;215,3;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;36-45
801;866;102;23/4/25;2025;4;2025-04;5;43,06;43,06;215,3;0;0;0;App Mobile;App Mobile;T-Shirts;NETHERLANDS;16-25
937;278;102;13/6/25;2025;6;2025-06;5;43,06;43,06;215,3;0;0;0;App Mobile;App Mobile;T-Shirts;ITALY;36-45
1578;394;369;15/6/25;2025;6;2025-06;5;43,04;43,04;215,2;0;0;0;E-commerce;Website Banner;Dresses;NETHERLANDS;36-45
1334;475;24;28/4/25;2025;4;2025-04;5;42,76;42,76;213,8;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;36-45
2167;361;476;5/5/25;2025;5;2025-05;5;42,72;42,72;213,6;0;0;0;E-commerce;Website Banner;Shoes;NETHERLANDS;46-55
3351;770;476;28/4/25;2025;4;2025-04;5;42,72;42,72;213,6;0;0;0;E-commerce;Website Banner;Shoes;PORTUGAL;46-55
2;1152;375;22/4/25;2025;4;2025-04;5;42,67;42,67;213,35;0;0;0;E-commerce;Website Banner;Shoes;ITALY;56-65
510;550;375;16/5/25;2025;5;2025-05;5;42,67;42,67;213,35;0;0;0;E-commerce;Website Banner;Shoes;ITALY;26-35
617;651;177;16/4/25;2025;4;2025-04;5;42,66;42,66;213,3;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;26-35
2503;1160;135;19/4/25;2025;4;2025-04;5;42,47;42,47;212,35;0;0;0;E-commerce;Website Banner;Shoes;NETHERLANDS;56-65
1099;728;287;18/5/25;2025;5;2025-05;5;42,24;60,34;211,2;30;18,1;1;App Mobile;App Mobile;Sleepwear;NETHERLANDS;46-55
2870;660;309;14/6/25;2025;6;2025-06;5;42,14;42,14;210,7;0;0;0;App Mobile;App Mobile;Dresses;NETHERLANDS;46-55
337;864;136;4/6/25;2025;6;2025-06;5;42,12;46,8;210,6;10;4,68;1;E-commerce;Website Banner;Pants;FRANCE;46-55
755;1268;344;18/5/25;2025;5;2025-05;5;42,1;42,1;210,5;0;0;0;E-commerce;Website Banner;T-Shirts;NETHERLANDS;36-45
761;1312;202;28/4/25;2025;4;2025-04;5;41,88;41,88;209,4;0;0;0;App Mobile;App Mobile;T-Shirts;SPAIN;56-65
1397;1237;202;28/4/25;2025;4;2025-04;5;41,88;41,88;209,4;0;0;0;E-commerce;Website Banner;T-Shirts;GERMANY;46-55
677;548;144;25/4/25;2025;4;2025-04;5;41,84;41,84;209,2;0;0;0;App Mobile;App Mobile;Pants;SPAIN;36-45
2835;35;172;27/4/25;2025;4;2025-04;5;41,7;41,7;208,5;0;0;0;E-commerce;Website Banner;Shoes;ITALY;16-25
1771;821;291;14/5/25;2025;5;2025-05;5;41,69;59,56;208,45;30;17,87;1;App Mobile;App Mobile;Shoes;FRANCE;26-35
300;202;423;28/5/25;2025;5;2025-05;5;41,64;41,64;208,2;0;0;0;App Mobile;App Mobile;T-Shirts;FRANCE;26-35
2832;993;423;21/4/25;2025;4;2025-04;5;41,64;41,64;208,2;0;0;0;E-commerce;Website Banner;T-Shirts;SPAIN;36-45
1986;1214;351;6/6/25;2025;6;2025-06;5;41,5;46,11;207,5;10;4,61;1;E-commerce;Website Banner;Pants;GERMANY;26-35
2556;825;78;13/5/25;2025;5;2025-05;5;41,45;59,21;207,25;29,99;17,76;1;App Mobile;App Mobile;Shoes;PORTUGAL;16-25
1552;362;86;25/5/25;2025;5;2025-05;5;41,26;41,26;206,3;0;0;0;App Mobile;App Mobile;Sleepwear;PORTUGAL;26-35
1369;655;18;24/4/25;2025;4;2025-04;5;40,99;40,99;204,95;0;0;0;E-commerce;Website Banner;Shoes;GERMANY;26-35
2268;1331;18;26/4/25;2025;4;2025-04;5;40,99;40,99;204,95;0;0;0;App Mobile;App Mobile;Shoes;FRANCE;26-35
2624;68;74;23/5/25;2025;5;2025-05;5;40,94;40,94;204,7;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;16-25
2581;458;293;20/5/25;2025;5;2025-05;5;40,77;40,77;203,85;0;0;0;App Mobile;App Mobile;Shoes;NETHERLANDS;16-25
2595;81;321;18/5/25;2025;5;2025-05;5;40,66;58,09;203,3;30,01;17,43;1;App Mobile;App Mobile;Pants;GERMANY;16-25
3193;557;9;25/4/25;2025;4;2025-04;5;40,5;40,5;202,5;0;0;0;App Mobile;App Mobile;Shoes;NETHERLANDS;16-25
2172;1049;1;19/4/25;2025;4;2025-04;5;40,41;40,41;202,05;0;0;0;App Mobile;App Mobile;Dresses;ITALY;16-25
505;72;16;19/5/25;2025;5;2025-05;5;40,36;40,36;201,8;0;0;0;E-commerce;Website Banner;Pants;FRANCE;36-45
1231;214;92;28/4/25;2025;4;2025-04;5;40,25;40,25;201,25;0;0;0;App Mobile;App Mobile;Shoes;NETHERLANDS;56-65
88;1300;226;15/4/25;2025;4;2025-04;5;39,78;39,78;198,9;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;36-45
158;812;325;21/4/25;2025;4;2025-04;5;39,78;39,78;198,9;0;0;0;E-commerce;Website Banner;Shoes;ITALY;16-25
1426;1245;143;17/5/25;2025;5;2025-05;5;39,75;39,75;198,75;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;36-45
2016;386;143;21/4/25;2025;4;2025-04;5;39,75;39,75;198,75;0;0;0;App Mobile;App Mobile;Sleepwear;ITALY;46-55
3128;352;143;5/4/25;2025;4;2025-04;5;39,75;39,75;198,75;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;16-25
148;832;490;23/4/25;2025;4;2025-04;5;39,42;39,42;197,1;0;0;0;E-commerce;Website Banner;Shoes;SPAIN;16-25
2373;200;178;4/5/25;2025;5;2025-05;5;39,34;39,34;196,7;0;0;0;App Mobile;App Mobile;Pants;GERMANY;36-45
1337;360;467;24/4/25;2025;4;2025-04;5;39,22;39,22;196,1;0;0;0;App Mobile;App Mobile;Pants;SPAIN;26-35
488;914;204;25/5/25;2025;5;2025-05;5;39,2;39,2;196;0;0;0;App Mobile;App Mobile;Dresses;NETHERLANDS;56-65
2189;866;204;23/4/25;2025;4;2025-04;5;39,2;39,2;196;0;0;0;App Mobile;App Mobile;Dresses;NETHERLANDS;16-25
3165;594;204;30/5/25;2025;5;2025-05;5;39,2;39,2;196;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;16-25
3341;562;204;18/4/25;2025;4;2025-04;5;39,2;39,2;196;0;0;0;App Mobile;App Mobile;Dresses;FRANCE;26-35
904;555;113;25/5/25;2025;5;2025-05;5;39,18;39,18;195,9;0;0;0;App Mobile;App Mobile;Dresses;ITALY;56-65
2047;973;141;17/6/25;2025;6;2025-06;5;39,16;39,16;195,8;0;0;0;App Mobile;App Mobile;Dresses;FRANCE;16-25
8;1084;96;28/4/25;2025;4;2025-04;5;39,03;39,03;195,15;0;0;0;E-commerce;Website Banner;T-Shirts;SPAIN;16-25
2579;922;180;23/5/25;2025;5;2025-05;5;38,81;38,81;194,05;0;0;0;E-commerce;Website Banner;Shoes;SPAIN;26-35
2728;52;438;21/5/25;2025;5;2025-05;5;38,74;38,74;193,7;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;16-25
1922;356;446;13/5/25;2025;5;2025-05;5;38,6;55,14;193;30;16,54;1;App Mobile;App Mobile;T-Shirts;GERMANY;16-25
1114;512;376;4/6/25;2025;6;2025-06;5;38,52;38,52;192,6;0;0;0;App Mobile;App Mobile;Sleepwear;PORTUGAL;16-25
1864;659;376;17/4/25;2025;4;2025-04;5;38,52;38,52;192,6;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;56-65
62;614;484;29/5/25;2025;5;2025-05;5;38,49;38,49;192,45;0;0;0;App Mobile;App Mobile;Pants;NETHERLANDS;36-45
2935;883;484;21/5/25;2025;5;2025-05;5;38,49;38,49;192,45;0;0;0;App Mobile;App Mobile;Pants;PORTUGAL;46-55
2994;84;484;17/5/25;2025;5;2025-05;5;38,49;38,49;192,45;0;0;0;E-commerce;Website Banner;Pants;FRANCE;26-35
1321;241;256;6/6/25;2025;6;2025-06;5;38,41;38,41;192,05;0;0;0;App Mobile;App Mobile;Sleepwear;SPAIN;36-45
1877;1020;498;17/5/25;2025;5;2025-05;5;38,33;38,33;191,65;0;0;0;E-commerce;Website Banner;T-Shirts;GERMANY;46-55
156;994;496;15/5/25;2025;5;2025-05;5;38,23;54,61;191,15;29,99;16,38;1;App Mobile;App Mobile;Pants;PORTUGAL;46-55
741;201;240;27/5/25;2025;5;2025-05;5;38,14;38,14;190,7;0;0;0;App Mobile;App Mobile;Pants;ITALY;36-45
333;411;48;13/5/25;2025;5;2025-05;5;38,07;54,38;190,35;29,99;16,31;1;App Mobile;App Mobile;Shoes;GERMANY;16-25
694;604;387;26/5/25;2025;5;2025-05;5;38,06;38,06;190,3;0;0;0;E-commerce;Website Banner;Sleepwear;SPAIN;26-35
1614;20;451;4/4/25;2025;4;2025-04;5;37,8;37,8;189;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;46-55
1116;1229;318;29/5/25;2025;5;2025-05;5;37,55;37,55;187,75;0;0;0;App Mobile;App Mobile;T-Shirts;ITALY;16-25
3187;11;318;20/5/25;2025;5;2025-05;5;37,55;37,55;187,75;0;0;0;App Mobile;App Mobile;T-Shirts;FRANCE;26-35
1267;1123;208;27/5/25;2025;5;2025-05;5;37,45;37,45;187,25;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;36-45
1566;352;85;5/4/25;2025;4;2025-04;5;37,35;37,35;186,75;0;0;0;E-commerce;Website Banner;Dresses;FRANCE;16-25
1266;642;492;19/5/25;2025;5;2025-05;5;37,12;37,12;185,6;0;0;0;E-commerce;Website Banner;Pants;NETHERLANDS;16-25
1823;1294;492;22/4/25;2025;4;2025-04;5;37,12;37,12;185,6;0;0;0;E-commerce;Website Banner;Pants;ITALY;16-25
3087;961;243;17/6/25;2025;6;2025-06;5;37,06;37,06;185,3;0;0;0;E-commerce;Website Banner;Sleepwear;NETHERLANDS;16-25
2504;865;441;29/5/25;2025;5;2025-05;5;36,99;36,99;184,95;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;56-65
2173;156;251;24/5/25;2025;5;2025-05;5;36,88;36,88;184,4;0;0;0;E-commerce;Website Banner;T-Shirts;ITALY;46-55
1312;602;5;28/4/25;2025;4;2025-04;5;36,84;36,84;184,2;0;0;0;E-commerce;Website Banner;Pants;ITALY;16-25
1355;642;5;19/5/25;2025;5;2025-05;5;36,84;36,84;184,2;0;0;0;E-commerce;Website Banner;Pants;NETHERLANDS;16-25
3085;647;5;30/4/25;2025;4;2025-04;5;36,84;36,84;184,2;0;0;0;E-commerce;Website Banner;Pants;ITALY;46-55
1544;811;248;27/4/25;2025;4;2025-04;5;36,79;36,79;183,95;0;0;0;App Mobile;App Mobile;T-Shirts;SPAIN;56-65
2840;401;148;15/4/25;2025;4;2025-04;5;36,69;36,69;183,45;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;36-45
1518;1024;495;15/4/25;2025;4;2025-04;5;36,65;36,65;183,25;0;0;0;App Mobile;App Mobile;Dresses;SPAIN;56-65
2363;1040;445;16/5/25;2025;5;2025-05;5;36,6;52,28;183;29,99;15,68;1;App Mobile;App Mobile;Sleepwear;FRANCE;26-35
1678;343;364;17/6/25;2025;6;2025-06;5;36,34;36,34;181,7;0;0;0;App Mobile;App Mobile;Dresses;FRANCE;36-45
1856;474;364;14/4/25;2025;4;2025-04;5;36,34;36,34;181,7;0;0;0;App Mobile;App Mobile;Dresses;ITALY;26-35
1012;321;259;31/5/25;2025;5;2025-05;5;35,73;35,73;178,65;0;0;0;App Mobile;App Mobile;Pants;NETHERLANDS;36-45
1112;1271;313;5/4/25;2025;4;2025-04;5;35,69;35,69;178,45;0;0;0;E-commerce;Website Banner;Sleepwear;SPAIN;56-65
55;1177;381;27/4/25;2025;4;2025-04;5;35,59;35,59;177,95;0;0;0;E-commerce;Website Banner;T-Shirts;GERMANY;56-65
2772;1173;370;16/5/25;2025;5;2025-05;5;35,24;50,34;176,2;30;15,1;1;App Mobile;App Mobile;T-Shirts;SPAIN;56-65
192;2;414;16/5/25;2025;5;2025-05;5;35,2;35,2;176;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;36-45
1819;1064;454;18/4/25;2025;4;2025-04;5;35,16;35,16;175,8;0;0;0;E-commerce;Website Banner;Sleepwear;ITALY;36-45
852;551;405;31/5/25;2025;5;2025-05;5;34,71;34,71;173,55;0;0;0;E-commerce;Website Banner;Dresses;SPAIN;16-25
1399;761;59;31/5/25;2025;5;2025-05;5;34,58;34,58;172,9;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;16-25
2044;295;175;13/5/25;2025;5;2025-05;5;34,41;49,16;172,05;30;14,75;1;App Mobile;App Mobile;T-Shirts;SPAIN;46-55
657;232;343;30/5/25;2025;5;2025-05;5;34,39;34,39;171,95;0;0;0;App Mobile;App Mobile;T-Shirts;FRANCE;16-25
789;968;342;13/6/25;2025;6;2025-06;5;34,35;34,35;171,75;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;36-45
1928;975;342;14/4/25;2025;4;2025-04;5;34,35;34,35;171,75;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;26-35
1930;64;342;21/5/25;2025;5;2025-05;5;34,35;34,35;171,75;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;36-45
1484;6;13;14/6/25;2025;6;2025-06;5;34,25;34,25;171,25;0;0;0;E-commerce;Website Banner;Shoes;PORTUGAL;46-55
595;1035;388;5/5/25;2025;5;2025-05;5;34,23;34,23;171,15;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;36-45
1336;762;388;13/6/25;2025;6;2025-06;5;34,23;34,23;171,15;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;56-65
2534;885;388;22/4/25;2025;4;2025-04;5;34,23;34,23;171,15;0;0;0;App Mobile;App Mobile;Dresses;SPAIN;16-25
2963;473;388;30/4/25;2025;4;2025-04;5;34,23;34,23;171,15;0;0;0;E-commerce;Website Banner;Dresses;SPAIN;56-65
402;534;298;22/4/25;2025;4;2025-04;5;33,94;33,94;169,7;0;0;0;App Mobile;App Mobile;Shoes;GERMANY;56-65
1977;886;330;25/5/25;2025;5;2025-05;5;33,94;33,94;169,7;0;0;0;E-commerce;Website Banner;Sleepwear;ITALY;46-55
3348;8;330;26/5/25;2025;5;2025-05;5;33,94;33,94;169,7;0;0;0;App Mobile;App Mobile;Sleepwear;ITALY;16-25
37;100;139;21/4/25;2025;4;2025-04;5;33,59;33,59;167,95;0;0;0;App Mobile;App Mobile;T-Shirts;GERMANY;46-55
1626;992;409;13/5/25;2025;5;2025-05;5;33,49;47,84;167,45;30;14,35;1;App Mobile;App Mobile;Shoes;GERMANY;36-45
2085;1168;338;13/6/25;2025;6;2025-06;5;33,39;33,39;166,95;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;26-35
2295;132;338;20/4/25;2025;4;2025-04;5;33,39;33,39;166,95;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;36-45
446;67;169;4/4/25;2025;4;2025-04;5;32,94;32,94;164,7;0;0;0;App Mobile;App Mobile;Sleepwear;NETHERLANDS;56-65
1535;1050;199;4/6/25;2025;6;2025-06;5;32,83;36,48;164,15;10,01;3,65;1;E-commerce;Website Banner;Dresses;GERMANY;36-45
1738;442;497;6/6/25;2025;6;2025-06;5;32,44;36,05;162,2;10,01;3,6;1;E-commerce;Website Banner;Dresses;GERMANY;46-55
1848;143;82;16/6/25;2025;6;2025-06;5;32,21;32,21;161,05;0;0;0;E-commerce;Website Banner;Dresses;PORTUGAL;46-55
2826;1286;259;6/6/25;2025;6;2025-06;5;32,16;35,73;160,8;9,99;3,57;1;E-commerce;Website Banner;Pants;FRANCE;46-55
815;913;84;27/5/25;2025;5;2025-05;5;31,84;31,84;159,2;0;0;0;App Mobile;App Mobile;Shoes;PORTUGAL;36-45
891;449;418;23/5/25;2025;5;2025-05;5;31,84;31,84;159,2;0;0;0;E-commerce;Website Banner;Shoes;SPAIN;56-65
97;904;90;5/5/25;2025;5;2025-05;5;31,67;31,67;158,35;0;0;0;E-commerce;Website Banner;Shoes;NETHERLANDS;56-65
3094;1256;457;16/4/25;2025;4;2025-04;5;31,61;31,61;158,05;0;0;0;App Mobile;App Mobile;T-Shirts;FRANCE;46-55
166;528;128;17/5/25;2025;5;2025-05;5;31,43;44,9;157,15;30;13,47;1;App Mobile;App Mobile;T-Shirts;ITALY;46-55
165;834;95;17/6/25;2025;6;2025-06;5;31,15;31,15;155,75;0;0;0;App Mobile;App Mobile;Sleepwear;ITALY;36-45
1662;53;95;14/4/25;2025;4;2025-04;5;31,15;31,15;155,75;0;0;0;E-commerce;Website Banner;Sleepwear;SPAIN;56-65
1846;423;184;13/5/25;2025;5;2025-05;5;30,86;44,08;154,3;29,99;13,22;1;App Mobile;App Mobile;Pants;PORTUGAL;36-45
885;640;401;18/4/25;2025;4;2025-04;5;30,83;30,83;154,15;0;0;0;App Mobile;App Mobile;Dresses;ITALY;16-25
1587;287;401;15/5/25;2025;5;2025-05;5;30,83;30,83;154,15;0;0;0;E-commerce;Website Banner;Dresses;ITALY;16-25
1948;580;401;31/5/25;2025;5;2025-05;5;30,83;30,83;154,15;0;0;0;App Mobile;App Mobile;Dresses;PORTUGAL;56-65
469;1295;431;17/5/25;2025;5;2025-05;5;30,41;30,41;152,05;0;0;0;E-commerce;Website Banner;Shoes;GERMANY;46-55
561;1068;431;19/5/25;2025;5;2025-05;5;30,41;30,41;152,05;0;0;0;E-commerce;Website Banner;Shoes;NETHERLANDS;56-65
2204;1251;431;30/4/25;2025;4;2025-04;5;30,41;30,41;152,05;0;0;0;App Mobile;App Mobile;Shoes;ITALY;36-45
3050;1206;431;19/4/25;2025;4;2025-04;5;30,41;30,41;152,05;0;0;0;E-commerce;Website Banner;Shoes;SPAIN;26-35
2127;414;339;14/6/25;2025;6;2025-06;5;30,35;30,35;151,75;0;0;0;App Mobile;App Mobile;T-Shirts;GERMANY;56-65
3267;534;171;22/4/25;2025;4;2025-04;5;30,26;30,26;151,3;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;56-65
2615;256;499;21/5/25;2025;5;2025-05;5;30,07;30,07;150,35;0;0;0;E-commerce;Website Banner;Sleepwear;PORTUGAL;36-45
90;387;88;20/4/25;2025;4;2025-04;5;29,81;29,81;149,05;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;36-45
493;32;88;21/4/25;2025;4;2025-04;5;29,81;29,81;149,05;0;0;0;App Mobile;App Mobile;Sleepwear;ITALY;56-65
1868;287;88;15/5/25;2025;5;2025-05;5;29,81;29,81;149,05;0;0;0;E-commerce;Website Banner;Sleepwear;ITALY;16-25
754;785;81;31/5/25;2025;5;2025-05;5;29,63;29,63;148,15;0;0;0;App Mobile;App Mobile;Sleepwear;FRANCE;46-55
2682;108;81;19/5/25;2025;5;2025-05;5;29,63;29,63;148,15;0;0;0;E-commerce;Website Banner;Sleepwear;GERMANY;46-55
2476;211;362;5/6/25;2025;6;2025-06;5;29,38;32,64;146,9;9,99;3,26;1;E-commerce;Website Banner;Sleepwear;PORTUGAL;26-35
975;64;246;21/5/25;2025;5;2025-05;5;28,98;28,98;144,9;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;36-45
1500;59;246;14/5/25;2025;5;2025-05;5;28,98;28,98;144,9;0;0;0;E-commerce;Website Banner;Dresses;ITALY;46-55
2501;55;462;17/4/25;2025;4;2025-04;5;28,58;28,58;142,9;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;16-25
354;212;176;5/5/25;2025;5;2025-05;5;27,94;27,94;139,7;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;56-65
1036;1030;65;16/6/25;2025;6;2025-06;5;27,45;27,45;137,25;0;0;0;App Mobile;App Mobile;T-Shirts;NETHERLANDS;26-35
1303;513;65;14/6/25;2025;6;2025-06;5;27,45;27,45;137,25;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;36-45
1634;647;119;30/4/25;2025;4;2025-04;5;27,34;27,34;136,7;0;0;0;E-commerce;Website Banner;Dresses;ITALY;46-55
1524;259;451;19/5/25;2025;5;2025-05;5;26,46;37,8;132,3;30;11,34;1;App Mobile;App Mobile;T-Shirts;GERMANY;56-65
1728;387;174;20/4/25;2025;4;2025-04;5;26,41;26,41;132,05;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;36-45
2936;341;208;13/5/25;2025;5;2025-05;5;26,22;37,45;131,1;29,99;11,24;1;App Mobile;App Mobile;T-Shirts;NETHERLANDS;16-25
3034;411;5;13/5/25;2025;5;2025-05;5;25,79;36,84;128,95;29,99;11,05;1;App Mobile;App Mobile;Pants;GERMANY;16-25
39;1297;245;29/4/25;2025;4;2025-04;5;24,91;24,91;124,55;0;0;0;App Mobile;App Mobile;Dresses;GERMANY;46-55
48;1030;122;16/6/25;2025;6;2025-06;5;24,8;24,8;124;0;0;0;App Mobile;App Mobile;Pants;NETHERLANDS;26-35
2070;120;23;6/6/25;2025;6;2025-06;5;24,75;27,5;123,75;10;2,75;1;E-commerce;Website Banner;Dresses;GERMANY;56-65
91;875;405;17/5/25;2025;5;2025-05;5;24,3;34,71;121,5;29,99;10,41;1;App Mobile;App Mobile;Dresses;ITALY;26-35
570;518;319;5/4/25;2025;4;2025-04;5;24,05;24,05;120,25;0;0;0;E-commerce;Website Banner;Dresses;NETHERLANDS;36-45
2995;1132;205;20/5/25;2025;5;2025-05;5;24,05;24,05;120,25;0;0;0;App Mobile;App Mobile;Pants;FRANCE;16-25
457;421;3;19/5/25;2025;5;2025-05;5;23,9;23,9;119,5;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;56-65
1748;915;3;20/4/25;2025;4;2025-04;5;23,9;23,9;119,5;0;0;0;E-commerce;Website Banner;T-Shirts;GERMANY;56-65
2749;1180;3;26/5/25;2025;5;2025-05;5;23,9;23,9;119,5;0;0;0;E-commerce;Website Banner;T-Shirts;SPAIN;36-45
2910;295;430;13/5/25;2025;5;2025-05;5;23,79;33,98;118,95;29,99;10,19;1;App Mobile;App Mobile;Sleepwear;SPAIN;46-55
704;375;235;14/4/25;2025;4;2025-04;5;23,68;23,68;118,4;0;0;0;E-commerce;Website Banner;Sleepwear;ITALY;46-55
2028;102;443;14/6/25;2025;6;2025-06;5;23,13;23,13;115,65;0;0;0;App Mobile;App Mobile;Sleepwear;FRANCE;56-65
2031;1303;164;21/5/25;2025;5;2025-05;5;22,96;22,96;114,8;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;36-45
1764;338;491;21/4/25;2025;4;2025-04;5;22,66;22,66;113,3;0;0;0;E-commerce;Website Banner;T-Shirts;ITALY;36-45
1938;297;401;17/5/25;2025;5;2025-05;5;21,58;30,83;107,9;30;9,25;1;App Mobile;App Mobile;Dresses;ITALY;56-65
